,Formula,material_id,GVRH,PHONONS,PIEZO,DIELECTRIC,EXP_BAND_GAP
0,Ca1 Ag2 Ge2,mp-7878,1.0,0.0,0.0,0.0,1.0
1,Ba1 Mg2 Ge2,mp-7876,1.0,0.0,0.0,0.0,0.0
2,Sr1 Si2 Cu2,mp-7877,1.0,0.0,0.0,0.0,0.0
3,Dy1 Pd3,mp-797,1.0,0.0,0.0,0.0,0.0
4,Ba1 Mg2 Si2,mp-7875,1.0,0.0,0.0,0.0,0.0
5,Ti1 Al1,mp-1953,1.0,0.0,0.0,0.0,1.0
6,Er1 Pd1,mp-851,1.0,0.0,0.0,0.0,0.0
7,Te2 Pd2,mp-564,1.0,0.0,0.0,0.0,1.0
8,Mn3 Nb3 Si3,mp-7829,1.0,0.0,0.0,0.0,0.0
9,Mg2 S2 O8,mp-7572,1.0,0.0,0.0,0.0,0.0
10,Tm1 Al3,mp-768,1.0,0.0,0.0,0.0,0.0
11,Ba6 N2,mp-10736,1.0,0.0,0.0,0.0,0.0
12,Tl2 Pd4 Se6,mp-7038,1.0,0.0,0.0,0.0,0.0
13,Tb1 Co3 B2,mp-3040,1.0,0.0,0.0,0.0,0.0
14,Ca1 Hg1 O2,mp-7041,1.0,1.0,0.0,1.0,0.0
15,Lu1 Pt3,mp-790,1.0,0.0,0.0,0.0,1.0
16,Rb2 Au2 O4,mp-7472,1.0,1.0,0.0,1.0,0.0
17,Rb2 Cu2 O4,mp-7467,1.0,1.0,0.0,1.0,0.0
18,Fe4 Sb12,mp-971669,1.0,0.0,0.0,0.0,0.0
19,Rb2 Hg4,mp-9827,1.0,0.0,0.0,0.0,0.0
20,Ba3 Al2 Si2,mp-9578,1.0,0.0,0.0,0.0,0.0
21,Zr3 Si3 Ru3,mp-7544,1.0,0.0,0.0,0.0,0.0
22,Ho2 Ga4 Pd2,mp-982511,1.0,0.0,0.0,0.0,0.0
23,Li12 Sb6,mp-9563,1.0,0.0,0.0,0.0,0.0
24,Rb1 Th2 Se6,mp-9523,1.0,0.0,0.0,0.0,0.0
25,Ca4 Sb4 Pt4,mp-8487,1.0,0.0,0.0,0.0,0.0
26,Sr2 Sb4 Pd4,mp-8468,1.0,0.0,0.0,0.0,0.0
27,Si3 Pd6,mp-697068,1.0,0.0,1.0,0.0,0.0
28,Te2 Pd1,mp-782,1.0,0.0,0.0,0.0,1.0
29,Cd2 S2 O8,mp-8459,1.0,1.0,0.0,0.0,0.0
30,Ca1 Al2 Ga2,mp-9690,1.0,0.0,0.0,0.0,0.0
31,Y8 C10,mp-9459,1.0,0.0,0.0,0.0,0.0
32,Er2 Zn2 As2 O2,mp-983603,1.0,0.0,0.0,0.0,0.0
33,Cs1 Cu3 S2,mp-7786,1.0,1.0,0.0,0.0,0.0
34,K4 Cu2 P2,mp-8446,1.0,1.0,0.0,1.0,0.0
35,Ca24 N16,mp-844,1.0,0.0,0.0,0.0,1.0
36,Cs2 K1 Cu1 F6,mp-6968,1.0,0.0,0.0,0.0,0.0
37,Zr4 Co4 P4,mp-8418,1.0,0.0,0.0,0.0,0.0
38,Cu2 B2 Se4,mp-983565,1.0,1.0,0.0,0.0,0.0
39,Na6 Cd2,mp-983509,1.0,0.0,0.0,0.0,0.0
40,Cs1 Sb1 F6,mp-9636,1.0,1.0,0.0,1.0,0.0
41,Th2 Te1 N2,mp-7523,1.0,0.0,0.0,0.0,0.0
42,Lu2 As2 O8,mp-7644,1.0,0.0,0.0,0.0,0.0
43,Al2 Ag2 O4,mp-9631,1.0,1.0,0.0,1.0,1.0
44,Er4 F12,mp-9371,1.0,0.0,0.0,0.0,0.0
45,Ti4 Si4 Rh4,mp-672645,1.0,0.0,0.0,0.0,0.0
46,Li4 Pd2 O6,mp-760483,1.0,0.0,0.0,0.0,0.0
47,Ti2 Mn1 Be1,mp-861958,1.0,0.0,0.0,0.0,0.0
48,K3 Cu3 P2,mp-7439,1.0,1.0,0.0,1.0,0.0
49,Rb1 Lu1 O2,mp-7480,1.0,0.0,0.0,0.0,0.0
50,Ba6 Fe2 N6,mp-8306,1.0,0.0,0.0,0.0,0.0
51,Rb1 Tm1 O2,mp-7478,1.0,0.0,0.0,0.0,0.0
52,Rb1 Er1 O2,mp-7477,1.0,0.0,0.0,0.0,0.0
53,Rb1 Dy1 O2,mp-7476,1.0,0.0,0.0,0.0,0.0
54,Nb2 As4,mp-7598,1.0,0.0,0.0,0.0,0.0
55,Er1 P2 Ru2,mp-12058,1.0,0.0,0.0,0.0,0.0
56,K2 P2 S6,mp-8267,1.0,0.0,0.0,0.0,0.0
57,Na5 Re1 O6,mp-8253,1.0,0.0,0.0,0.0,0.0
58,Au4 O6,mp-27253,1.0,1.0,1.0,0.0,0.0
59,Na4 Ge2 O6,mp-5784,1.0,0.0,1.0,0.0,0.0
60,Nb2 Sn2 S4,mp-9586,1.0,0.0,0.0,0.0,0.0
61,Ti1 Re2 W1,mp-865664,1.0,0.0,0.0,0.0,0.0
62,K2 Zn1 F4,mp-9583,1.0,1.0,0.0,1.0,0.0
63,Cd1 Pt3 O6,mp-8212,1.0,1.0,0.0,1.0,0.0
64,Na2 Be2 As2,mp-9573,1.0,0.0,0.0,1.0,0.0
65,K4 Zn2 O4,mp-8187,1.0,1.0,0.0,0.0,0.0
66,Sr1 Mg2 Sb2,mp-9566,1.0,1.0,0.0,1.0,0.0
67,Ca1 Mg2 Sb2,mp-9565,1.0,1.0,0.0,1.0,0.0
68,Ag4 S2,mp-31053,1.0,0.0,1.0,0.0,0.0
69,Li1 Ti3 Se6,mp-8132,1.0,0.0,0.0,0.0,0.0
70,Ca1 Mg2 As2,mp-9564,1.0,1.0,0.0,1.0,0.0
71,Sr2 Ag2 As2,mp-6954,1.0,0.0,0.0,0.0,0.0
72,Li2 Be2 As2,mp-9562,1.0,1.0,0.0,0.0,0.0
73,As4 Ru2,mp-766,1.0,1.0,0.0,0.0,1.0
74,Sr2 Zn2 Si2,mp-9556,1.0,0.0,0.0,0.0,0.0
75,Ho16 O24,mp-812,1.0,0.0,0.0,0.0,1.0
76,Tm1 Cu1,mp-985,1.0,0.0,0.0,0.0,0.0
77,Sc3 Mn3 Si3,mp-9550,1.0,0.0,0.0,0.0,0.0
78,Sc3 Fe3 Ge3,mp-9549,1.0,0.0,0.0,0.0,0.0
79,Zn4 Ge4 N8,mp-2979,1.0,1.0,0.0,0.0,0.0
80,Ba6 Mn2 N6,mp-9324,1.0,0.0,0.0,0.0,0.0
81,Zn1 Pt3 O6,mp-8207,1.0,1.0,0.0,1.0,0.0
82,Li8 Ca4,mp-570466,1.0,0.0,0.0,0.0,0.0
83,Li3 Pd1,mp-11489,1.0,0.0,0.0,0.0,0.0
84,Rb3 Sb2 Au3,mp-9274,1.0,1.0,0.0,0.0,0.0
85,Ca1 Ti1 F6,mp-27315,1.0,1.0,0.0,1.0,0.0
86,Tl2 Pt4 S6,mp-9272,1.0,0.0,0.0,0.0,0.0
87,Ba3 Na3 Bi3,mp-31235,1.0,1.0,1.0,1.0,0.0
88,Sm4 Al4 O12,mp-7405,1.0,0.0,0.0,0.0,0.0
89,Li3 Pr3 Ge3,mp-8481,1.0,0.0,0.0,0.0,0.0
90,Li2 Fe2 As2,mp-21471,1.0,0.0,0.0,0.0,0.0
91,Tl2 Te6 Pt4,mp-9251,1.0,0.0,0.0,0.0,0.0
92,Na2 Pr2 O4,mp-8470,1.0,0.0,0.0,0.0,0.0
93,Sc4 Si4 Pt4,mp-9225,1.0,0.0,0.0,0.0,0.0
94,K4 Ag2 Sb2,mp-7643,1.0,1.0,0.0,1.0,0.0
95,Na4 Al4 O8,mp-9212,1.0,0.0,0.0,0.0,0.0
96,Tm2 Fe2 Si2 C1,mp-9211,1.0,0.0,0.0,0.0,0.0
97,Sm4 F12,mp-7384,1.0,0.0,0.0,0.0,0.0
98,K2 Bi4,mp-23279,1.0,0.0,0.0,0.0,1.0
99,Ba3 Al2 Sn2,mp-7377,1.0,0.0,0.0,0.0,0.0
100,Ba4 As4 Pt4,mp-8458,1.0,0.0,0.0,0.0,0.0
101,Sr3 Al2 Sn2,mp-7376,1.0,0.0,0.0,0.0,1.0
102,Sr2 As2 Pt2,mp-8456,1.0,0.0,0.0,0.0,0.0
103,Y2 Al3 Si2,mp-9177,1.0,0.0,0.0,0.0,0.0
104,Ba1 Ni2 P2,mp-9473,1.0,0.0,0.0,0.0,0.0
105,Na2 Li2 S2,mp-8452,1.0,0.0,0.0,1.0,0.0
106,Li8 Ti2 O8,mp-9172,1.0,0.0,0.0,0.0,0.0
107,K1 I1,mp-22898,1.0,1.0,0.0,0.0,0.0
108,Zr2 Ge2 Sb2,mp-9463,1.0,0.0,0.0,0.0,0.0
109,Sm3 In3 Pd3,mp-982004,1.0,0.0,0.0,0.0,0.0
110,Li5 Mg1,mp-981935,1.0,0.0,0.0,0.0,0.0
111,Rb1 As1 F6,mp-9819,1.0,0.0,0.0,1.0,0.0
112,Ca2 B4 Rh4,mp-8431,1.0,0.0,0.0,0.0,0.0
113,Na6 P2 S2 O6,mp-542136,1.0,0.0,0.0,0.0,0.0
114,K4 Na2 Al2 P4,mp-9068,1.0,0.0,0.0,0.0,0.0
115,Sr1 Cd2 As2,mp-7771,1.0,0.0,0.0,1.0,0.0
116,Sr1 Zn2 As2,mp-7770,1.0,1.0,0.0,1.0,0.0
117,K1 Y1 O2,mp-8409,1.0,1.0,0.0,0.0,0.0
118,Mg4 Cu4 P4,mp-7352,1.0,0.0,0.0,0.0,0.0
119,Li3 La1 P2,mp-8407,1.0,1.0,0.0,1.0,0.0
120,La1 Ni2 B2 C1,mp-568083,1.0,0.0,0.0,0.0,0.0
121,B1 As1 O4,mp-3277,1.0,1.0,1.0,1.0,0.0
122,Na2 Y2 F8,mp-34081,1.0,0.0,0.0,0.0,0.0
123,Rb2 Au2 S2,mp-9010,1.0,1.0,0.0,1.0,0.0
124,Er2 Cd6,mp-7303,1.0,0.0,0.0,0.0,0.0
125,Cr2 P8,mp-7302,1.0,0.0,0.0,0.0,0.0
126,Sc1 Co2 Si2,mp-4131,1.0,0.0,0.0,0.0,0.0
127,Mn2 Nb1 Al1,mp-865011,1.0,0.0,0.0,0.0,0.0
128,Er2 Tl1 Ag1,mp-863667,1.0,0.0,0.0,0.0,0.0
129,Sm2 Ni2 Ge4,mp-980760,1.0,0.0,0.0,0.0,0.0
130,Ba2 U1 Mn1 O6,mp-19852,1.0,0.0,0.0,0.0,0.0
131,Mn1 Ga1 Co2,mp-21171,1.0,0.0,0.0,0.0,0.0
132,Rb1 Au3 Se2,mp-9385,1.0,1.0,0.0,1.0,0.0
133,Sr2 B4 Rh5,mp-8896,1.0,0.0,0.0,0.0,0.0
134,Zr6 Fe1 Te2,mp-9381,1.0,0.0,0.0,0.0,0.0
135,Ca6 As6,mp-888,1.0,0.0,0.0,0.0,0.0
136,Cs2 Na4 B2 O6,mp-8871,1.0,0.0,0.0,0.0,0.0
137,Ba6 Na2 N2,mp-8868,1.0,0.0,0.0,0.0,0.0
138,Tl1 Sb1 F6,mp-8348,1.0,0.0,0.0,1.0,0.0
139,Al2 Cu2 Cl8,mp-28020,1.0,1.0,1.0,0.0,0.0
140,Ba2 Zr1 O4,mp-8335,1.0,1.0,0.0,0.0,0.0
141,K1 Rb2 Sc1 F6,mp-9349,1.0,0.0,0.0,0.0,0.0
142,Lu2 Ge2 Au2,mp-9351,1.0,0.0,0.0,0.0,0.0
143,Sc1 Nb1 Os2,mp-867786,1.0,0.0,0.0,0.0,0.0
144,Hf2 Be2 Si2,mp-12571,1.0,0.0,0.0,0.0,0.0
145,K1 Nb1 O3,mp-7375,1.0,1.0,1.0,0.0,0.0
146,Hf4 Co4 As4,mp-9801,1.0,0.0,0.0,0.0,0.0
147,Ba1 Li2 Mg2 Ge2,mp-569396,1.0,0.0,0.0,0.0,0.0
148,Th1 Fe2 Si2,mp-7600,1.0,0.0,0.0,0.0,1.0
149,Ca2 Ni8 B2,mp-8307,1.0,0.0,0.0,0.0,0.0
150,Sr4 Mg2 Si4 O14,mp-6564,1.0,0.0,0.0,0.0,0.0
151,Sr4 P2 O1,mp-8298,1.0,1.0,0.0,0.0,0.0
152,Ba1 Ti1 F6,mp-8291,1.0,0.0,0.0,0.0,0.0
153,Ba1 Sn1 F6,mp-8290,1.0,0.0,0.0,1.0,0.0
154,K2 Zn2 Sb2,mp-7438,1.0,1.0,0.0,1.0,0.0
155,Na4 Li4 Te4,mp-8754,1.0,0.0,0.0,0.0,0.0
156,Tm1 Si2 Rh2,mp-8528,1.0,0.0,0.0,0.0,0.0
157,Ba1 Mg2 P2,mp-8278,1.0,1.0,0.0,1.0,0.0
158,K4 Hg1 P2,mp-8753,1.0,1.0,0.0,1.0,0.0
159,Na4 Cd1 P2,mp-8752,1.0,1.0,0.0,1.0,0.0
160,Sc2 Ge2 Au2,mp-9350,1.0,0.0,0.0,0.0,0.0
161,Ba2 Sn2,mp-872,1.0,0.0,0.0,0.0,0.0
162,Zn1 Pt1 F6,mp-8256,1.0,1.0,0.0,1.0,0.0
163,Ca1 Pt1 F6,mp-8255,1.0,1.0,0.0,1.0,0.0
164,Ba2 Hf1 S4,mp-9321,1.0,1.0,0.0,0.0,0.0
165,Na4 Cu2 P2,mp-7639,1.0,0.0,0.0,1.0,0.0
166,Y3 In3 Ni3,mp-672299,1.0,0.0,0.0,0.0,0.0
