,Formula,material_id,GVRH,PHONONS,PIEZO,DIELECTRIC,EXP_BAND_GAP
0,Ca1 Ag2 Ge2,mp-7878,0.0646732626789066,0.0,0.0,0.0,-1.0
1,Ba1 Mg2 Ge2,mp-7876,0.11716976016344582,0.0,0.0,0.0,0.0
2,Sr1 Si2 Cu2,mp-7877,0.280383747136391,0.0,0.0,0.0,0.0
3,Dy1 Pd3,mp-797,0.2562583154468696,0.0,0.0,0.0,0.0
4,Ba1 Mg2 Si2,mp-7875,0.17863453820070796,0.0,0.0,0.0,0.0
5,Ti1 Al1,mp-1953,0.357437479307257,0.0,0.0,0.0,-1.0
6,Er1 Pd1,mp-851,0.09719386965375221,0.0,0.0,0.0,0.0
7,Te2 Pd2,mp-564,-0.042833042192381265,0.0,0.0,0.0,-1.0
8,Mn3 Nb3 Si3,mp-7829,0.4869877089626624,0.0,0.0,0.0,0.0
9,Mg2 S2 O8,mp-7572,0.23688813162085243,0.0,0.0,0.0,0.0
10,Tm1 Al3,mp-768,0.30281472245839236,0.0,0.0,0.0,0.0
11,Ba6 N2,mp-10736,-0.4275146095584159,0.0,0.0,0.0,0.0
12,Tl2 Pd4 Se6,mp-7038,-0.20604702916532647,0.0,0.0,0.0,0.0
13,Tb1 Co3 B2,mp-3040,0.5242823028514816,0.0,0.0,0.0,0.0
14,Ca1 Hg1 O2,mp-7041,-0.15679431771418295,-0.6757955377345091,0.0,-0.957272397533551,0.0
15,Lu1 Pt3,mp-790,0.37948140409137454,0.0,0.0,0.0,-1.0
16,Rb2 Au2 O4,mp-7472,-0.20604702916532647,-0.6869557601877101,0.0,-0.9750453391367429,0.0
17,Rb2 Cu2 O4,mp-7467,-0.15679431771418295,-0.6596132151773675,0.0,-0.9709104098657961,0.0
18,Fe4 Sb12,mp-971669,0.20908711090112986,0.0,0.0,0.0,0.0
19,Rb2 Hg4,mp-9827,-0.48576820297856016,0.0,0.0,0.0,0.0
20,Ba3 Al2 Si2,mp-9578,-0.0123804694919597,0.0,0.0,0.0,0.0
21,Zr3 Si3 Ru3,mp-7544,0.47139875482905835,0.0,0.0,0.0,0.0
22,Ho2 Ga4 Pd2,mp-982511,0.23688813162085243,0.0,0.0,0.0,0.0
23,Li12 Sb6,mp-9563,0.0018223211661771987,0.0,0.0,0.0,0.0
24,Rb1 Th2 Se6,mp-9523,-0.0592217719124164,0.0,0.0,0.0,0.0
25,Ca4 Sb4 Pt4,mp-8487,0.13596989891416755,0.0,0.0,0.0,0.0
26,Sr2 Sb4 Pd4,mp-8468,-0.07649679950992128,0.0,0.0,0.0,0.0
27,Si3 Pd6,mp-697068,0.2562583154468696,0.0,-0.9247202093986452,0.0,0.0
28,Te2 Pd1,mp-782,-0.0123804694919597,0.0,0.0,0.0,-0.6923076923076923
29,Cd2 S2 O8,mp-8459,0.04099501116028281,-0.37112146476212005,0.0,0.0,0.0
30,Ca1 Al2 Ga2,mp-9690,0.0646732626789066,0.0,0.0,0.0,0.0
31,Y8 C10,mp-9459,0.26246259155337226,0.0,0.0,0.0,0.0
32,Er2 Zn2 As2 O2,mp-983603,0.13596989891416755,0.0,0.0,0.0,0.0
33,Cs1 Cu3 S2,mp-7786,-0.3355972588207319,-0.7952099179837605,0.0,0.0,0.0
34,K4 Cu2 P2,mp-8446,-0.23384804988504893,-0.8342706965699642,0.0,-0.9225970257526297,0.0
35,Ca24 N16,mp-844,0.12670808579146442,0.0,0.0,0.0,-0.735042735042735
36,Cs2 K1 Cu1 F6,mp-6968,-0.15679431771418295,0.0,0.0,0.0,0.0
37,Zr4 Co4 P4,mp-8418,0.5160541181876173,0.0,0.0,0.0,0.0
38,Cu2 B2 Se4,mp-983565,0.24347620378545543,-0.6942099047822908,0.0,0.0,0.0
39,Na6 Cd2,mp-983509,-0.48576820297856016,0.0,0.0,0.0,0.0
40,Cs1 Sb1 F6,mp-9636,-0.48576820297856016,-0.6757955377345091,0.0,-0.9783097569822271,0.0
41,Th2 Te1 N2,mp-7523,0.16224580848067305,0.0,0.0,0.0,0.0
42,Lu2 As2 O8,mp-7644,0.3237737219897172,0.0,0.0,0.0,0.0
43,Al2 Ag2 O4,mp-9631,0.3081847678561134,-0.5976739805621016,0.0,-0.9372506347479144,-0.3846153846153846
44,Er4 F12,mp-9371,0.20908711090112986,0.0,0.0,0.0,0.0
45,Ti4 Si4 Rh4,mp-672645,0.4305546912942193,0.0,0.0,0.0,0.0
